Nome;NumeroRegistos;Género
Maria;5640;F
Santiago;2084;M
Matilde;1835;F
Leonor;1783;F
João;1773;M
Francisco;1687;M
Rodrigo;1553;M
Martim;1497;M
Afonso;1354;M
Tomás;1340;M
Miguel;1192;M
Duarte;1177;M
Carolina;1174;F
Beatriz;1154;F
Mariana;1152;F
Gabriel;1111;M
Lourenço;1110;M
Gonçalo;1085;M
Pedro;1072;M
Guilherme;1042;M
Ana;1010;F
Tiago;971;M
Sofia;958;F
Inês;939;F
Dinis;928;M
Margarida;912;F
Rafael;912;M
Francisca;898;F
Diogo;888;M
Lara;853;F
Lucas;834;M
Salvador;831;M
Gustavo;760;M
David;744;M
Vicente;711;M
Laura;707;F
Simão;681;M
José;679;M
Alice;661;F
Joana;625;F
Clara;597;F
Mateus;588;M
Diana;582;F
Madalena;567;F
Diego;553;M
Manuel;515;M
Henrique;514;M
António;513;M
Daniel;510;M
Mara;488;F
Luana;487;F
Benedita;482;F
Vasco;474;M
Constança;459;F
Mafalda;458;F
Bianca;449;F
Íris;431;F
Leonardo;420;M
Sara;415;F
Camila;409;F
Gabriela;406;F
Rita;405;F
Bernardo;405;M
André;397;M
Luís;382;M
Eva;375;F
Enzo;375;M
Carlota;367;F
Letícia;365;F
Eduardo;329;M
Vitória;323;F
Ema;301;F
Luísa;296;F
Catarina;286;F
Alexandre;273;M
Ariana;259;F
Isaac;259;M
Kevin;258;M
Yasmin;249;F
Yara;248;F
Rúben;224;M
Filipe;221;M
Matias;216;M
Leandro;208;M
Xavier;201;M
Carminho;193;F
Miriam;192;F
Ricardo;186;M
Marta;184;F
Alícia;183;F
Samuel;179;M
Rafaela;178;F
Luena;176;F
Victória;170;F
Núria;168;F
Kyara;163;F
Helena;163;F
Valentina;163;F
Júlia;162;F
Artur;162;M
Bárbara;156;F
Isabel;154;F
Nicole;153;F
Daniela;148;F
Lia;142;F
Bruna;142;F
Nuno;141;M
Melissa;140;F
Bruno;139;M
Noa;135;F
Jéssica;135;F
Carlos;135;M
Teresa;132;F
Iara;132;F
Raquel;129;F
Davi;122;M
Filipa;121;F
Sebastião;121;M
Hugo;119;M
Valentim;114;M
Rui;113;M
Frederico;103;M
Renato;102;M
Bryan;100;M
Mia;96;F
Érica;92;F
Luna;89;F
Isis;88;F
Jorge;87;M
Lorenzo;81;M
Caetana;78;F
Benjamim;77;M
Alexandra;75;F
Joaquim;75;M
Paulo;75;M
Mélanie;73;F
Pilar;73;F
Juliana;73;F
